"NYC_BOROUGH","NEIGHBORHOOD","ROOM_TYPE","PRICE","SERVICE_FEE","NUMBER_OF_REVIEWS","MINIMUM_NIGHTS","CANCELLATION_POLICY"
"Manhattan","West Village","Private room",944,189,79,4,"moderate"
"Manhattan","Upper East Side","Private room",720,144,199,0,"flexible"
"Manhattan","SoHo","Private room",817,163,54,2,"strict"
"Manhattan","West Village","Private room",1008,202,209,3,"strict"
"Manhattan","West Village","Private room",1145,229,78,2,"strict"
"Manhattan","Midtown","Private room",613,123,214,3,"strict"
"Manhattan","Upper East Side","Private room",198,40,2,5,"strict"
"Manhattan","West Village","Private room",860,172,199,2,"strict"
"Manhattan","Upper East Side","Private room",401,80,1,1,"flexible"
"Manhattan","SoHo","Private room",1155,231,132,1,"flexible"
"Manhattan","Upper East Side","Private room",59,12,160,1,"flexible"
"Manhattan","West Village","Private room",690,138,2,2,"flexible"
"Manhattan","Upper East Side","Private room",995,199,138,2,"flexible"
"Manhattan","West Village","Private room",192,38,148,1,"strict"
"Manhattan","Midtown","Private room",927,185,3,3,"flexible"
"Manhattan","SoHo","Private room",976,195,64,3,"strict"
"Manhattan","Upper East Side","Private room",920,184,1,3,"moderate"
"Manhattan","West Village","Private room",1002,200,2,1,"moderate"
"Manhattan","Upper East Side","Private room",827,165,77,2,"flexible"
"Manhattan","SoHo","Private room",782,156,77,1,"moderate"
"Manhattan","Nolita","Private room",1167,233,131,4,"flexible"
"Manhattan","West Village","Private room",437,87,203,1,"flexible"
"Manhattan","Upper East Side","Private room",256,51,20,1,"strict"
"Manhattan","Upper East Side","Private room",436,87,134,3,"flexible"
"Manhattan","Midtown","Private room",656,131,128,2,"strict"
"Manhattan","SoHo","Private room",978,196,191,2,"strict"
"Manhattan","Upper East Side","Private room",382,76,1,1,"moderate"
"Manhattan","Upper East Side","Private room",954,191,12,1,"flexible"
"Manhattan","SoHo","Private room",374,75,1,1,"flexible"
"Manhattan","Upper East Side","Private room",216,43,44,5,"flexible"
"Manhattan","Midtown","Private room",881,176,6,3,"flexible"
"Manhattan","West Village","Private room",203,41,80,2,"flexible"
"Manhattan","SoHo","Private room",641,128,30,3,"flexible"
"Manhattan","Upper East Side","Private room",675,135,150,3,"strict"
"Manhattan","Upper East Side","Private room",190,38,2,1,"moderate"
"Manhattan","Upper East Side","Private room",1047,209,25,1,"flexible"
